State,Year,Population
Alabama,2010,4785492
Alaska,2010,714031
Arizona,2010,6408312
Arkansas,2010,2921995
California,2010,37332685
Colorado,2010,5048644
Delaware,2010,899816
District of Columbia,2010,605183
Florida,2010,18849098
Georgia,2010,9713521
Hawaii,2010,1363945
Idaho,2010,1571010
Illinois,2010,12841578
Indiana,2010,6490528
Iowa,2010,3050738
Kansas,2010,2858850
Kentucky,2010,4348662
Louisiana,2010,4544996
Maine,2010,1327730
Maryland,2010,5788584
Massachusetts,2010,6565524
Michigan,2010,9877495
Minnesota,2010,5311147
Mississippi,2010,2970322
Missouri,2010,5996118
Montana,2010,990641
Nebraska,2010,1830051
Nevada,2010,2703284
New Hampshire,2010,1316872
New Jersey,2010,8803729
New Mexico,2010,2064756
New York,2010,19402640
North Carolina,2010,9558915
North Dakota,2010,674526
Ohio,2010,11540983
Oklahoma,2010,3759603
Oregon,2010,3838048
Pennsylvania,2010,12712343
Rhode Island,2010,1053337
South Carolina,2010,4635943
South Dakota,2010,816325
Tennessee,2010,6356671
Texas,2010,25244310
Utah,2010,2775326
Vermont,2010,625982
Virginia,2010,8025773
Washington,2010,6743226
West Virginia,2010,1854230
Wisconsin,2010,5690263
Wyoming,2010,564513
Alabama,2011,4779918
Alaska,2011,722713
Arizona,2011,6467163
Arkansas,2011,2939493
California,2011,37676861
Colorado,2011,5118360
Delaware,2011,907924
District of Columbia,2011,620477
Florida,2011,19096952
Georgia,2011,9811610
Hawaii,2011,1377864
Idaho,2011,1584143
Illinois,2011,12860012
Indiana,2011,6516480
Iowa,2011,3065223
Kansas,2011,2869503
Kentucky,2011,4369354
Louisiana,2011,4575404
Maine,2011,1328231
Maryland,2011,5843603
Massachusetts,2011,6611923
Michigan,2011,9876213
Minnesota,2011,5348562
Mississippi,2011,2978162
Missouri,2011,6010717
Montana,2011,997821
Nebraska,2011,1842283
Nevada,2011,2718379
New Hampshire,2011,1318473
New Jersey,2011,8841243
New Mexico,2011,2077756
New York,2011,19519529
North Carolina,2011,9650963
North Dakota,2011,685476
Ohio,2011,11544824
Oklahoma,2011,3786274
Oregon,2011,3868031
Pennsylvania,2011,12744293
Rhode Island,2011,1052451
South Carolina,2011,4672637
South Dakota,2011,824398
Tennessee,2011,6397634
Texas,2011,25646389
Utah,2011,2816124
Vermont,2011,626730
Virginia,2011,8110035
Washington,2011,6822520
West Virginia,2011,1854972
Wisconsin,2011,5709640
Wyoming,2011,567725
Alabama,2012,4815960
Alaska,2012,731089
Arizona,2012,6549634
Arkansas,2012,2950685
California,2012,38011074
Colorado,2012,5189867
Delaware,2012,916993
District of Columbia,2012,635327
Florida,2012,19344156
